"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5021","Search for Pliers shows only matching products","Search","2026-07-28","passed","2026-07-28","","","",""
"","699","Sort by price high to low","Sort","2026-07-28","passed","2026-07-28","","","",""
"","5176","Sort by price low to high","Sort","2026-07-28","passed","2026-07-28","","","",""
"","20640","Add to cart -> product present, count = 1","Cart","2026-07-28","passed","2026-07-28","","","",""
"","22662","Complete checkout -> order confirmed","Checkout","2026-07-28","passed","2026-07-28","","","",""
"","6255","Filter by Hammer shows only matching products","Category","2026-07-28","passed","2026-07-28","","","",""
"","11444","Click product -> verify detail -> breadcrumb -> back to catalog","Product Detail","2026-07-31","passed","2026-07-31","","","",""
"","5516","Login success","Login","2026-07-28","passed","2026-07-28","","","",""
"","8848","Logout success","Logout","2026-07-28","passed","2026-07-28","","","",""
"","4447","Remove from cart -> cart empty, badge disappears","Cart","2026-07-28","passed","2026-07-28","","","",""
"","1625","Login error: invalid password","Login","2026-07-28","passed","2026-07-28","","","",""
